#Number, Name, Lat, Lon, Height, Aperture
2,Nevada,39.1867,-119.798,1500,0.6,0.42,0.41,0.37,0.37,0.37,0.65,0.76,0.76,0.72,0.57,0.38,0.35,CarsonCity,0.3,51.1, 1
3,Spain,37.5001,-2.4103,1100,0.6,0.43,0.43,0.44,0.45,0.47,0.65,0.82,0.75,0.5,0.38,0.4,0.38,Oria,0.3,50.8, 1
4,ElSauce,-30.4725,-70.765,1650,0.6,0.84,0.86,0.82,0.69,0.46,0.45,0.53,0.59,0.63,0.66,0.77,0.82,Ovalle,0.2,67.7, 1
6,Warram,-31.2763,149.18,550,0.6,0.52,0.52,0.57,0.53,0.46,0.42,0.46,0.59,0.61,0.55,0.47,0.5,Coonabarabran,0.2,51.7, 1
