#Aperture(m), Duration(hours), a, b
0.1, 15.9, 0.0007155422499735515, 0.4602769841543784
0.1, 16.0, 0.0007115112232572632, 0.4602709405539228
0.1, 16.1, 0.0007094818131245493, 0.4602713931356921
0.1, 16.2, 0.0007074737213149319, 0.4602714867314034
0.1, 16.3, 0.0007054692327610095, 0.4602727488168348
0.1, 16.4, 0.0007034967744147174, 0.46027267139626704
0.1, 16.5, 0.0007015312638117318, 0.4602734322298364
0.1, 16.6, 0.0006995836844278199, 0.4602740478431287
0.1, 16.7, 0.0006976526071590045, 0.4602746232315206
0.1, 16.8, 0.0006957338687549754, 0.46027550971290276
0.1, 16.9, 0.0006938420667646798, 0.4602753893557501
0.1, 17.0, 0.0006919588185407255, 0.46027587722514696
0.1, 17.1, 0.0006882985846186288, 0.4602713816691539
0.1, 17.2, 0.0006864601277739524, 0.4602718713008948
0.1, 17.3, 0.0006846422697306157, 0.4602718192056084
0.1, 17.4, 0.0006828341323169956, 0.46027218799385095
0.1, 17.5, 0.0006810303773158419, 0.4602734479781258
0.1, 17.6, 0.0006792539842228236, 0.46027349952731295
0.1, 17.7, 0.0006774839874497042, 0.46027422850017563
0.1, 17.8, 0.0006757360957325536, 0.46027418707126344
0.1, 17.9, 0.0006739884368399083, 0.4602753584899711
0.1, 18.0, 0.0006722652435353014, 0.4602755093814748
0.1, 18.1, 0.0006705512471624912, 0.4602760229568488
0.1, 18.2, 0.0006672217212519635, 0.460271519033864
0.1, 18.3, 0.0006655428398009262, 0.4602723308543315
0.1, 18.4, 0.0006638842861816146, 0.46027241580886336
0.1, 18.5, 0.0006622412982951904, 0.460272198759641
0.1, 18.6, 0.0006605999259355645, 0.46027296846279
0.1, 18.7, 0.0006589715295992999, 0.4602736521496889
0.1, 18.8, 0.0006573575290389564, 0.46027410263283985
0.1, 18.9, 0.0006557566386549059, 0.46027442573718763
0.1, 19.0, 0.0006541585895794678, 0.4602755762140193
0.1, 19.1, 0.0006525860889419315, 0.4602753974094114
0.1, 19.2, 0.0006510152732401993, 0.4602761320511764
0.1, 19.3, 0.0006479759201438154, 0.46027103828672356
0.1, 19.4, 0.0006464379702506374, 0.4602717938629914
0.1, 19.5, 0.00064490951559414, 0.4602726763883437
0.1, 19.6, 0.0006434011692421466, 0.46027265600589656
0.1, 19.7, 0.0006418974797708505, 0.46027320168624536
0.1, 19.8, 0.0006404029659640641, 0.4602738691857216
0.1, 19.9, 0.0006389210596387249, 0.4602743163004897
0.1, 20.0, 0.0006374522404201152, 0.46027448347136
0.15, 0.3, 0.003633827945958322, 0.46008341783562046
0.15, 0.4, 0.0031475685589218575, 0.4600720070559553
0.15, 0.5, 0.0028147268597831627, 0.46008393146123083
0.15, 0.6, 0.0023912788812450103, 0.4597626031568373
0.15, 0.7, 0.002235582093709113, 0.45979728589551394
0.15, 0.8, 0.0021059823087119863, 0.45984845114243705
0.15, 0.9, 0.0019972700981375374, 0.45986826802349234
0.15, 1.0, 0.0019036193844107904, 0.45989109067168127
0.15, 1.1, 0.0018220936087709856, 0.4599074657888761
0.15, 1.2, 0.0017501423409772771, 0.4599240156276007
0.15, 1.3, 0.0016863623238917705, 0.4599283096719666
0.15, 1.4, 0.001628628534348647, 0.45994925409173393
0.15, 1.5, 0.0015766353419348314, 0.45996012965841787
0.15, 1.6, 0.0015293253123185985, 0.45996965572293974
0.15, 1.7, 0.0014490430564345815, 0.459865227298008
0.15, 1.8, 0.0014120865931173793, 0.4598768666834086
0.15, 1.9, 0.0013778750301593487, 0.4598849610661217
0.15, 2.0, 0.0013459168989201674, 0.45989774567688896
0.15, 2.1, 0.0013161840447556102, 0.45990473031626816
0.15, 2.2, 0.0012884822936212012, 0.45990423680486103
0.15, 2.3, 0.0012621120271706853, 0.4599207563738338
0.15, 2.4, 0.0012374378265307114, 0.4599289912999597
0.15, 2.5, 0.001214377611484339, 0.4599253617172099
0.15, 2.6, 0.0011921802530971534, 0.45994167178057377
0.15, 2.7, 0.0011713968560506135, 0.45994422086015363
0.15, 2.8, 0.001134251408113512, 0.45987490512594104
0.15, 2.9, 0.001116154642370945, 0.45988781936499296
0.15, 3.0, 0.0010990119389685058, 0.45989351212309143
0.15, 3.1, 0.001082731190536201, 0.4598934156022473
0.15, 3.2, 0.0010669372744615152, 0.4599058157322371
0.15, 3.3, 0.0010519087499500687, 0.45991202098734957
0.15, 3.4, 0.001037525577336055, 0.45991623623678124
0.15, 3.5, 0.001023675994839643, 0.4599226930159209
0.15, 3.6, 0.0010104446877004362, 0.4599240417484468
0.15, 3.7, 0.0009976081822817753, 0.4599318448669948
0.15, 3.8, 0.0009853423824789217, 0.45993339861908117
0.15, 3.9, 0.000962854762818888, 0.4598884408196
0.15, 4.0, 0.0009517596277245275, 0.4598943294114178
0.15, 4.1, 0.0009410565409512291, 0.4598988335155453
